id;cat_name;description;image_url
1;aha phew easy-going;facet;opposite dub cuddly
2;evenly freak hake;publisher fiction not;abandoned
3;sibling laze;for plain;ick
4;community shareholder plus;amusing;whereas
5;officially;monumental times flowery;what outclass
6;reach typify gargle;friendship;notable
7;hash almost;lodge abnormally;criminal consequently
8;sans accelerate blah;bulky upon;repeatedly clavier
9;athwart;involve;on academic climb
10;big instead sportsman;ferociously intent pucker;secret
