id;status;order_date;amount;coupon_value
1;InProcess;2023-12-03T15:48:02;10769.22;19799.5
2;Pending;2023-12-03T02:52:51;10837.74;12441.38
3;PaymentFailed;2023-12-02T20:38:39;8428.04;29659.31
4;PaymentFailed;2023-12-03T17:43:48;7565.93;2281.24
5;Paid;2023-12-03T11:21:24;13753.64;139.41
6;InProcess;2023-12-03T17:40:05;23907.18;8164.33
7;Paid;2023-12-03T10:18:17;20597.75;20131.25
8;PaymentFailed;2023-12-02T21:29:18;29911.51;18729.81
9;InProcess;2023-12-03T11:47:23;26652.82;6177.64
10;InProcess;2023-12-02T22:08:03;7749.23;6050.07
