id;status;vendor;type;amount;init_date;updated_date;total_refund_amount
1;Refunded;RazorPay;WALLET;13745.97;2023-12-02T18:41:04;2023-12-03T00:30:31;16680.04
2;PartialRefunded;RazorPay;COD;29254.34;2023-12-03T10:29:48;2023-12-03T17:25:15;30216.42
3;Refunded;RazorPay;COD;26447.43;2023-12-03T04:47:56;2023-12-03T05:02:16;18029.36
4;Failed;RazorPay;DEBIT_CARD;21139.68;2023-12-03T10:13:46;2023-12-03T11:00:28;27306.45
5;PartialRefunded;RazorPay;WALLET;9794.25;2023-12-03T04:23:07;2023-12-02T23:03:54;17094.34
6;InProcess;RazorPay;DEBIT_CARD;30326;2023-12-03T08:00:15;2023-12-03T08:03:57;8378.67
7;InProcess;RazorPay;COD;659.65;2023-12-02T21:42:53;2023-12-03T17:17:07;24226.66
8;InProcess;RazorPay;CREDIT_CARD;20797.35;2023-12-03T01:23:01;2023-12-03T10:44:05;10979.89
9;InProcess;RazorPay;WALLET;17351.22;2023-12-02T21:49:08;2023-12-02T20:07:33;19883.17
10;PartialRefunded;RazorPay;COD;11905.12;2023-12-03T01:49:38;2023-12-03T13:36:32;19874.82
