id;pincode;area;city;state_province;country
1;eek nexus;audition affair;Port Gene;eyebrow pfft;South Africa
2;inasmuch;development unless;West Raphaelle;spoon terrific;Monaco
3;geez wonderful;eek huzzah;Wendellborough;substance;Armenia
4;emphasis a who;need;York;waiver;Mauritania
5;safe numb following;collectivise during contract;Broomfield;chaos bravely perfectly;Maldives
6;so but but;knot lest cautious;Beierfield;aha;Zimbabwe
7;nor flustered whereas;filch;South D'angelofield;traumatic boo;Montserrat
8;or antique;until now;South Mandyfort;animated silver;Myanmar
9;despair harmonise;out scrawny tow-truck;Bartonboro;sober stained;Niger
10;consequently whoa;mmm mineral happily;Little Rock;apt after ack;Burundi
