id;status;vendor;amount;init_date;updated_date
1;InProcess;RazorPay;3176.38;2023-12-03T13:12:24;2023-12-03T13:45:29
2;InProcess;RazorPay;31423.48;2023-12-02T21:50:42;2023-12-03T16:43:29
3;Success;RazorPay;8752.66;2023-12-03T04:47:12;2023-12-03T00:10:59
4;Success;RazorPay;4844.37;2023-12-03T10:35:13;2023-12-03T16:37:47
5;Success;RazorPay;19871.41;2023-12-03T11:12:14;2023-12-03T06:23:25
6;Success;RazorPay;11702.57;2023-12-03T01:26:53;2023-12-02T22:34:05
7;InProcess;RazorPay;3101.45;2023-12-03T17:49:09;2023-12-03T11:04:35
8;InProcess;RazorPay;18262.14;2023-12-03T15:27:13;2023-12-02T19:40:59
9;InProcess;RazorPay;6178.61;2023-12-03T13:26:39;2023-12-02T19:05:36
10;Success;RazorPay;24814.76;2023-12-02T23:46:22;2023-12-03T06:22:49
