id;restaurant_name;title;logo;type
1;ah since;sleep;tool testy flustered;MultiCusion
2;truthfully;at statement;ack;MultiCusion
3;essay fatally;off wield instance;and jockey;CloudKitchen
4;across;damp ophthalmologist painfully;misplay sticky finally;CloudKitchen
5;since self-reliant yowza;gleaming bad mmm;everybody;CloudKitchen
6;rap meanwhile;swipe loop;nor mmm while;CloudKitchen
7;till;agreeable;unlike;CloudKitchen
8;underneath;instead whoever;wipe aw;MultiCusion
9;geez;enormously reassuringly for;numb indeed absentmindedly;CloudKitchen
10;validate cheap healthy;gem;internal duh;MultiCusion
